Kontonummer,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position,Handlungshilfe,UStVA_Kennzahl,Steuerschluessel,USt_Berichtskategorie,Kontoart,Automatikkonto,Standard-Gegenkonto
1791,Umsatzsteuer frühere Jahre,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Verbindlichkeiten oder Forderungen aus Umsatzsteuer für weiter zurückliegende Jahre (z.B. nach Betriebsprüfung).,,,Umsatzsteuer Vorjahre,,,
1792,Sonstige Verrechnungskonten (Interimskonto),Interimskonto,Verrechnungskonto,Technisches Konto,,,Sammelkonto für unklare Posten oder zur kurzfristigen Verrechnung,,,,,,
1794,Umsatzsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Erfassung der Umsatzsteuerschuld des letzten Abnehmers bei einem innergemeinschaftlichen Dreiecksgeschäft.,69,,vereinnahmte Umsatzsteuer,,,
1795,Verbindlichkeiten im Rahmen der sozialen Sicherheit (für § 4 Abs. 3 EStG),Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),,Technisches Konto zur periodengerechten Erfassung von SV-Beiträgen für Einnahmen-Überschuss-Rechner.,,,,,,
2010,Betriebsfremde Aufwendungen,Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,"Aufwendungen, die nicht mit dem eigentlichen Betriebszweck zusammenhängen (z.B. Spenden).",,,,,,
2020,Periodenfremde Aufwendungen,Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,"Aufwendungen, die wirtschaftlich in eine andere Abrechnungsperiode gehören (z.B. Nachzahlung für Vorjahr).",,,,,,
2100,Zinsen und ähnliche Aufwendungen,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Sammelkonto für Zinsaufwendungen aller Art.,,,,,,
2102,"Steuerlich nicht abzugsfähige, andere Nebenleistungen zu Steuern §4 Abs. 5b EStG",Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Erfassung von steuerlich nicht abzugsfähigen Säumniszuschlägen etc. auf betriebliche Steuern.,,,,,,
2103,Abzugsfähige andere Nebenleistungen zu Steuern,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Erfassung von steuerlich abzugsfähigen Nebenleistungen (z.B. Stundungszinsen).,,,,,,
2104,"Nicht abzugsfähige, andere Nebenleistungen zu Steuern",Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Erfassung von steuerlich nicht abzugsfähigen Nebenleistungen (z.B. Säumniszuschläge auf Personensteuern).,,,,,,
2105,"Zinsaufwendungen § 233a AO, § 4 Abs. 5b EStG, nicht abzugsfähig",Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Nicht abzugsfähige Nachzahlungszinsen auf betriebliche Steuern (Gewerbe-, Körperschaftsteuer).",,,,,,
2106,Zinsen aus Abzinsung des Körperschaftssteuer-Erhöhungsbetrages § 38 KStG,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Spezialkonto für Zinsen im Rahmen von EK02-Ausschüttungen.,,,,,,
2107,Zinsaufwendungen § 233a AO betriebliche Steuern,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Abzugsfähige Nachzahlungs- und Erstattungszinsen auf betriebliche Steuern (z.B. Umsatzsteuer).,,,,,,
2108,Zinsaufwendungen §§ 233a bis 237 AO Personensteuern,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Nicht abzugsfähige Zinsen auf Personensteuern (Einkommensteuer).,,,,,,
2110,Zinsaufwendungen für kurzfristige Verbindlichkeiten,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Zinsen für Kontokorrentkredite, kurzfristige Darlehen etc.",,,,,,
2111,Zinsaufwendungen §§ 234 bis 237 AO abzugsfähig,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Abzugsfähige Zinsen wie Stundungs- oder Aussetzungszinsen auf betriebliche Steuern.,,,,,,
2113,Nicht abzugsfähige Schuldzinsen gemäß § 4 Abs. 4a EStG (Hinzurechnungsbetrag),Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Erfassung des Betrags aus der Hinzurechnung von Überentnahmen bei Personengesellschaften/Einzelunternehmen.,,,,,,
2114,Zinsen für Gesellschafterdarlehen,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Zinszahlungen für Darlehen, die von Gesellschaftern gewährt wurden.",,,,,,
2115,Zinsen und ähnliche Aufwendungen z.T. nicht abziehbar,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Sammelkonto für Zinsen, bei denen die steuerliche Abzugsfähigkeit noch zu prüfen ist.",,,,,,
2116,Zinsen und ähnliche Aufwendungen an verbundene UN z.T. n. abz.,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Zinszahlungen an verbundene Unternehmen, die ggf. unter die Zinsschranke fallen.",,,,,,
2117,Zinsen an Gesellschafter mit einer Beteiligung von mehr als 25%,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Zinszahlungen an wesentlich beteiligte Gesellschafter (Prüfung verdeckte Gewinnausschüttung).,,,,,,
2118,Zinsen auf Kontokorrentkonten,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Sollzinsen für die Überziehung von Bankkonten.,,,,,,
2120,Zinsaufwendungen für langfristige Verbindlichkeiten,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Zinsen für langfristige Bankdarlehen oder Anleihen.,,,,,,
2143,Zinsaufwendungen aus der Abzinsung von Verbindlichkeiten,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Aufzinsung von langfristigen, unverzinslichen Verbindlichkeiten.",,,,,,
2144,Zinsaufwendungen aus der Abzinsung von Rückstellungen,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Aufzinsung von langfristigen Rückstellungen (außer Pensionen).,,,,,,
2146,Zinsaufwendungen aus Abzinsung Pensionsrückst. u. ä. Verpfl. z. Verr. § 246 Abs. 2 HGB,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Zinsaufwand aus Verpflichtungen, die mit Deckungsvermögen verrechnet werden.",,,,,,
2147,Aufwendungen aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Aufwendungen aus Deckungsvermögen (z.B. Wertverluste), die mit dem Zinsaufwand saldiert werden.",,,,,,
2148,Steuerlich nicht abzugsfähige Zinsaufwendungen aus der Abzinsung von Rückstellungen,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,"Aufzinsungsaufwand, der nach § 6 Abs. 1 Nr. 3a EStG steuerlich nicht abzugsfähig ist.",,,,,,
2149,Zinsähnliche Aufwendungen an verbundene Unternehmen,Betriebsausgabe,Zinsaufwand,,,12. Zinsen und ähnliche Aufwendungen,Kreditprovisionen etc. an verbundene Unternehmen.,,,,,,
2150,Aufwendungen aus der Währungsumrechnung,Betriebsausgabe,Sonstige Kosten,,,8. Sonstige betriebliche Aufwendungen,Verluste aus der Umrechnung von Forderungen oder Verbindlichkeiten in Fremdwährung.,,,,,,
2151,Aufwendungen aus der Währungsumrechnung (nicht § 256a HGB),Betriebsausgabe,Neutraler Aufwand,,,12. Zinsen und ähnliche Aufwendungen,"Kursverluste, die dem Finanzergebnis zuzuordnen sind.",,,,,,
2166,Aufwendungen aus Bewertung Finanzmittelfonds,Betriebsausgabe,Neutraler Aufwand,,,11. Abschreibungen auf Finanzanlagen...,Wertminderungen von Anteilen an Investmentfonds im Umlaufvermögen.,,,,,,
2170,Nicht abziehbare Vorsteuer (sonst. Aufw.),Betriebsausgabe,Betriebliche Steuern,,,8. Sonstige betriebliche Aufwendungen,"Vorsteuerbeträge, für die kein Abzugsrecht besteht und die als separater Aufwand gebucht werden.",,,"Steuern, Versicherungen und Beiträge",,,
2171,Nicht abziehbare Vorsteuer 7% (sonst. Aufw.),Betriebsausgabe,Betriebliche Steuern,,,8. Sonstige betriebliche Aufwendungen,"Wie 2170, jedoch für den ermäßigten Steuersatz.",,,"Steuern, Versicherungen und Beiträge",,,
2176,Nicht abziehbare Vorsteuer 19% (sonst. Aufw.),Betriebsausgabe,Betriebliche Steuern,,,8. Sonstige betriebliche Aufwendungen,"Wie 2170, jedoch für den Regelsteuersatz.",,,"Steuern, Versicherungen und Beiträge",,,
2200,Körperschaftsteuer,Betriebsausgabe,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Aufwand für die Körperschaftsteuer des laufenden Jahres (nicht abzugsfähig).,,,betriebliche Steuern,,,
2203,Körperschaftsteuer für Vorjahre,Betriebsausgabe,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Nachzahlungen von Körperschaftsteuer für frühere Jahre.,,,betriebliche Steuern,,,
2204,Körperschaftsteuererstattungen für Vorjahre,Einnahme,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Erstattungen von Körperschaftsteuer für frühere Jahre (ertragswirksam).,,,betriebliche Steuern,,,
2208,Solidaritätszuschlag,Betriebsausgabe,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Aufwand für den Solidaritätszuschlag zur Körperschaftsteuer (nicht abzugsfähig).,,,betriebliche Steuern,,,
2209,Solidaritätszuschlag für Vorjahre,Betriebsausgabe,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Nachzahlungen von Solidaritätszuschlag für frühere Jahre.,,,betriebliche Steuern,,,
2210,Solidaritätszuschlagserstattungen für Vorjahre,Einnahme,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Erstattungen von Solidaritätszuschlag für frühere Jahre.,,,betriebliche Steuern,,,
2213,Kapitalertragsteuer 25%,Betriebsausgabe,Anrechenbare Steuern,,,17. Steuern vom Einkommen und vom Ertrag,"Einbehaltene Kapitalertragsteuer auf Zinserträge, die auf die KSt-Schuld angerechnet wird.",,,betriebliche Steuern,,,
2216,Anrechenbarer Solidaritätszuschlag auf Kapitalertragsteuer,Betriebsausgabe,Anrechenbare Steuern,,,17. Steuern vom Einkommen und vom Ertrag,"Einbehaltener Solidaritätszuschlag auf Zinserträge, der angerechnet wird.",,,betriebliche Steuern,,,
2250,Aufwendungen aus der Zuführung und Auflösung von latenten Steuern,Betriebsausgabe,Latente Steuern,,,20. Aufwendungen/Erträge aus latenten Steuern,Buchung des Aufwands aus der Bildung/Auflösung von latenten Steuern.,,,,,,
2255,Erträge aus der Zuführung und Auflösung von latenten Steuern,Einnahme,Latente Steuern,,,20. Aufwendungen/Erträge aus latenten Steuern,Buchung des Ertrags aus der Bildung/Auflösung von latenten Steuern.,,,,,,
2260,Aufwendungen aus der Zuführung zu Steuerrückstellungen für Steuerstundung (BStBK),Betriebsausgabe,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Aufwand aus der Bildung von Steuerrückstellungen für gestundete Steuern.,,,,,,
2265,Erträge aus der Auflösung von Steuerrückstellungen für Steuerstundung (BStBK),Einnahme,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Ertrag aus der Auflösung von Steuerrückstellungen für gestundete Steuern.,,,,,,
2281,Gewerbesteuer Nachzahlung / Erstattung VJ § 4 Abs. 5b EStG,Betriebsausgabe,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Nachzahlungen oder Erstattungen von Gewerbesteuer für Vorjahre (nicht abzugsfähig).,,,,,,
2283,Erträge aus der Auflösung von Gewerbesteuerrückstellungen §4 Abs. 5b EStG,Einnahme,Steuern v. Einkommen/Ertrag,,,17. Steuern vom Einkommen und vom Ertrag,Ertragswirksame Auflösung von nicht mehr benötigten Gewerbesteuerrückstellungen.,,,betriebliche Steuern,,,
2285,Steuernachzahlungen Vorjahre für sonstige Steuern,Betriebsausgabe,Betriebliche Steuern,,,8. Sonstige betriebliche Aufwendungen,Nachzahlungen für betriebliche Steuern (z.B. Grundsteuer) aus Vorjahren.,,,betriebliche Steuern,,,
2287,Steuererstattungen Vorjahre für sonstige Steuern,Einnahme,Betriebliche Steuern,,,4. Sonstige betriebliche Erträge,Erstattungen für betriebliche Steuern (z.B. Grundsteuer) aus Vorjahren.,,,neutrale Erträge,,,
2289,Erträge aus der Auflösung von Rückstellungen für sonstige Steuern,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,Ertragswirksame Auflösung von Rückstellungen für sonstige Steuern (z.B. für eine Betriebsprüfung).,,,,,,
2300,Sonstige betriebliche Aufwendungen,Betriebsausgabe,Sonstige Kosten,,,8. Sonstige betriebliche Aufwendungen,"Sammelkonto für sonstige betriebliche Aufwendungen, die nicht spezieller zugeordnet werden können.",,,,,,
2307,Sonstige Aufwendungen betriebsfremd und regelmäßig,Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,"Regelmäßige, aber nicht dem Betriebszweck dienende Aufwendungen.",,,,,,
2308,Sonstige nicht abziehbare Aufwendungen,Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,,,8. Sonstige betriebliche Aufwendungen,"Aufwendungen, die handelsrechtlich Aufwand sind, aber steuerlich nicht abgezogen werden dürfen (außer Geschenke/Bewirtung).",,,,,,
2309,Sonstige Aufwendungen unregelmäßig,Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,"Außergewöhnliche Aufwendungen, die nicht unter eine andere Kategorie fallen.",,,,,,
2310,Anlagenabgänge Sachanlagen (Restbuchwert bei Buchverlust),Betriebsausgabe,Anlagenabgang,,,8. Sonstige betriebliche Aufwendungen,"Ausbuchung des Restbuchwerts bei Verkauf oder Verschrottung von Sachanlagen, wenn ein Verlust entsteht.",,,Buchwert Anlagenabgänge,,,
2311,Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchverlust),Betriebsausgabe,Anlagenabgang,,,8. Sonstige betriebliche Aufwendungen,"Ausbuchung des Restbuchwerts bei Verkauf immaterieller VG, wenn ein Verlust entsteht.",,,Buchwert Anlagenabgänge,,,
2312,Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchverlust),Betriebsausgabe,Anlagenabgang,,,11. Abschreibungen auf Finanzanlagen...,"Ausbuchung des Restbuchwerts bei Verkauf von Finanzanlagen, wenn ein Verlust entsteht.",,,Buchwert Anlagenabgänge,,,
2313,Abgang Finanzanlagen zum Teil nicht abziehbar (Restbuchwert Buchverlust),Betriebsausgabe,Anlagenabgang,,,11. Abschreibungen auf Finanzanlagen...,"Wie 2312, wenn der Verlust steuerlich nur teilweise abzugsfähig ist.",,,Buchwert Anlagenabgänge,,,
2315,Anlagenabgänge Sachanlagen (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,,,4. Sonstige betriebliche Erträge (als Minderung),"Ausbuchung des Restbuchwerts bei Verkauf von Sachanlagen, wenn ein Gewinn entsteht (Verrechnung mit Erlös).",,,Buchwert Anlagenabgänge,,,
2316,Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,,,4. Sonstige betriebliche Erträge (als Minderung),"Ausbuchung des Restbuchwerts bei Verkauf immaterieller VG, wenn ein Gewinn entsteht.",,,Buchwert Anlagenabgänge,,,
2317,Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,,,10. Erträge aus Finanzanlagen (als Minderung),"Ausbuchung des Restbuchwerts bei Verkauf von Finanzanlagen, wenn ein Gewinn entsteht.",,,Buchwert Anlagenabgänge,,,
2318,Abgang Finanzanlagen zum Teil steuerfrei (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,,,10. Erträge aus Finanzanlagen (als Minderung),"Wie 2317, wenn der Gewinn steuerlich teilweise steuerfrei ist.",,,Buchwert Anlagenabgänge,,,
2320,Verluste aus dem Abgang von Gegenständen des Anlagevermögens,Betriebsausgabe,Anlagenabgang,,,8. Sonstige betriebliche Aufwendungen,Erfassung des Nettoverlusts aus dem Verkauf von Anlagevermögen.,,,Erlöse aus Anlagenverkäufen,,,
2323,Verlust aus der Veräußerung von Anteilen an KapGes. z.T. n. abz.,Betriebsausgabe,Anlagenabgang,,,11. Abschreibungen auf Finanzanlagen...,"Verlust aus Verkauf von Anteilen, der steuerlich nur begrenzt abzugsfähig ist.",,,Erlöse aus Anlagenverkäufen,,,
2325,Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte),Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,Verluste aus dem Verkauf von z.B. Wertpapieren des Umlaufvermögens unter Buchwert.,,,,,,
2326,Verluste aus dem Abgang von Gegenständen des Umlaufvermögens z.T. n. abz.,Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,"Wie 2325, wenn der Verlust steuerlich nur teilweise abzugsfähig ist.",,,,,,
2339,Einstellungen in die steuerliche Rücklage nach § 4g EStG,Betriebsausgabe,Steuerliche Rücklagen,,,8. Sonstige betriebliche Aufwendungen,Aufwand zur Bildung einer Rücklage zur Vermeidung der sofortigen Versteuerung stiller Reserven.,,,,,,
2342,Einstellungen in die steuerliche Rücklage nach § 6b Abs. 3 EStG,Betriebsausgabe,Steuerliche Rücklagen,,,8. Sonstige betriebliche Aufwendungen,Aufwand zur Bildung einer Rücklage für die Übertragung stiller Reserven.,,,,,,
2343,Einstellungen in die steuerliche Rücklage nach § 6b Abs. 10 EStG,Betriebsausgabe,Steuerliche Rücklagen,,,8. Sonstige betriebliche Aufwendungen,Aufwand zur Bildung einer Rücklage für die Übertragung stiller Reserven (Sonderfall).,,,,,,
2344,Einstellungen in die Rücklage für Ersatzbeschaffung nach R 6.6 EStR,Betriebsausgabe,Steuerliche Rücklagen,,,8. Sonstige betriebliche Aufwendungen,Aufwand zur Bildung einer Rücklage bei unfreiwilligem Ausscheiden eines Wirtschaftsgutes.,,,,,,
2345,Einstellungen in steuerliche Rücklagen,Betriebsausgabe,Steuerliche Rücklagen,,,8. Sonstige betriebliche Aufwendungen,Sammelkonto für die Bildung steuerlicher Rücklagen zur Gewinnminderung.,,,,,,
2347,Aufwendungen aus dem Erwerb eigener Anteile,Ergebnisverwendung,Rücklagenbewegung,,,,"Nebenkosten beim Kauf eigener Anteile, die direkt mit den Rücklagen verrechnet werden.",,,,,,
2375,Grundsteuer,Betriebsausgabe,Betriebliche Steuern,,,8. Sonstige betriebliche Aufwendungen,Aufwand für die Grundsteuer für betrieblich genutzte Grundstücke.,,,,,,
2400,Forderungsverluste,Betriebsausgabe,Forderungsverluste,,,8. Sonstige betriebliche Aufwendungen,Abschreibung von uneinbringlichen Netto-Forderungen.,,,,,,
2401,Forderungsverluste 7% USt.,Betriebsausgabe,Forderungsverluste,,,8. Sonstige betriebliche Aufwendungen,"Abschreibung uneinbringlicher Forderungen, inkl. Korrektur der 7% USt.",86,,Umsatzerlöse,,,
2402,Forderungsverluste aus steuerfreien EU-Lieferungen,Betriebsausgabe,Forderungsverluste,,,8. Sonstige betriebliche Aufwendungen,Abschreibung uneinbringlicher Forderungen aus steuerfreien innergemeinschaftlichen Lieferungen.,41,,Umsatzerlöse,,,
2403,Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 7% USt.,Betriebsausgabe,Forderungsverluste,,,8. Sonstige betriebliche Aufwendungen,Abschreibung uneinbringlicher Forderungen inkl. Korrektur der 7% USt (Fernverkäufe).,86,,Umsatzerlöse,,,
2406,Forderungsverluste 19% USt.,Betriebsausgabe,Forderungsverluste,,,8. Sonstige betriebliche Aufwendungen,"Abschreibung uneinbringlicher Forderungen, inkl. Korrektur der 19% USt.",81,,Umsatzerlöse,,,
2408,Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt.,Betriebsausgabe,Forderungsverluste,,,8. Sonstige betriebliche Aufwendungen,Abschreibung uneinbringlicher Forderungen inkl. Korrektur der 19% USt (Fernverkäufe).,81,,Umsatzerlöse,,,
2430,"Forderungsverluste, unüblich hoch",Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,Außergewöhnlich hohe Forderungsausfälle.,,,,,,
2431,"Forderungsverluste 7% USt, unüblich hoch",Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,Außergewöhnlich hohe Forderungsausfälle inkl. USt-Korrektur.,86,,Umsatzerlöse,,,
2436,"Forderungsverluste 19% USt, unüblich hoch",Betriebsausgabe,Neutraler Aufwand,,,8. Sonstige betriebliche Aufwendungen,Außergewöhnlich hohe Forderungsausfälle inkl. USt-Korrektur.,81,,Umsatzerlöse,,,
2494,Abgeführte Gewinne aufgrund von Gewinn- oder Teilgewinnabführungsvertrags,Ergebnisverwendung,Gewinnverwendung,,A.V. Jahresüberschuss/-fehlbetrag (als Minderung),,Buchung der Gewinnabführung an eine Muttergesellschaft im Rahmen eines Ergebnisabführungsvertrags.,,,,,,
2495,Einstellungen in die Kapitalrücklage nach den Vorschriften über die vereinfachte Kapitalherabsetzung,Ergebnisverwendung,Rücklagenbewegung,,A.II. Kapitalrücklage,,Buchung im Rahmen einer vereinfachten Kapitalherabsetzung.,,,,,,
2496,Einstellungen in die gesetzliche Rücklage,Ergebnisverwendung,Rücklagenbewegung,,A.III.1. Gesetzliche Rücklage,,Zuführung zur gesetzlichen Rücklage aus dem Jahresüberschuss.,,,,,,
2497,Einstellungen in satzungsmäßige Rücklage,Ergebnisverwendung,Rücklagenbewegung,,A.III.3. Satzungsmäßige Rücklagen,,Zuführung zu satzungsmäßigen Rücklagen aus dem Jahresüberschuss.,,,,,,
2498,Einstellungen in die Rücklage für eigene Anteile,Ergebnisverwendung,Rücklagenbewegung,,A.III.2. Rücklage für eigene Anteile,,Zuführung zur Rücklage für eigene Anteile aus dem Jahresüberschuss.,,,,,,
2499,Einstellungen in andere Gewinnrücklagen,Ergebnisverwendung,Rücklagenbewegung,,A.III.4. Andere Gewinnrücklagen,,Zuführung zu freiwilligen Gewinnrücklagen aus dem Jahresüberschuss.,,,,,,
2500,Außerordentliche Erträge,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Erträge, die außergewöhnlich für den Geschäftsbetrieb sind.",,,,,,
2505,Außerordentliche Erträge nicht finanzwirksam,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Außergewöhnliche Erträge, die keinen Geldzufluss bewirken (z.B. Zuschreibung).",,,,,,
2510,Sonstige betriebsfremde Erträge,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Erträge, die nicht mit dem eigentlichen Betriebszweck zusammenhängen.",,,,,,
2520,Periodenfremde Erträge,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Erträge, die wirtschaftlich in eine andere Abrechnungsperiode gehören (z.B. Erstattung aus Vorjahr).",,,,,,
2590,Erträge aus der Anwendung von Übergangsvorschriften,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Erträge, die sich aus der erstmaligen Anwendung von Gesetzesänderungen (z.B. BilMoG) ergeben.",,,,,,
2670,Diskonterträge,Einnahme,Zinsertrag,,,11. sonstige Zinsen und ähnliche Erträge,Erträge aus dem Ankauf von Wechseln vor Fälligkeit.,,,,,,
2679,Diskonterträge aus verbundenen Unternehmen,Einnahme,Zinsertrag,,,11. davon aus verbundenen Unternehmen,"Wie 2670, jedoch bei Ankauf von einem verbundenen Unternehmen.",,,,,,
2680,Zinsähnliche Erträge,Einnahme,Zinsertrag,,,11. sonstige Zinsen und ähnliche Erträge,"Erträge, die Zinscharakter haben (z.B. Verzugszinsen von Kunden).",,,,,,
2720,Erträge aus dem Abgang von Gegenständen des Anlagevermögens,Einnahme,Anlagenabgang,,,4. Sonstige betriebliche Erträge,Verkaufserlös beim Verkauf von Anlagegütern.,,,Erlöse aus Anlagenverkäufen,,,
2725,Erträge aus dem Abgang von Gegenständen des Umlaufvermögens,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,Erlöse aus dem Verkauf von Umlaufvermögen (außer Waren) über Buchwert.,,,,,,
2726,Erträge aus dem Abgang Umlaufvermögen zum Teil steuerfrei,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Wie 2725, wenn der Gewinn steuerlich teilweise steuerfrei ist.",,,,,,
2732,Erträge aus abgeschriebenen Forderungen,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Zahlungseingänge auf Forderungen, die bereits als uneinbringlich ausgebucht waren.",,,,,,
2735,Erträge aus der Auflösung von Rückstellungen,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Ertragswirksame Auflösung von Rückstellungen, die nicht mehr benötigt werden.",,,,,,
2736,Erträge aus der Herabsetzung von Verbindlichkeiten,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,Erträge aus dem teilweisen oder vollständigen Erlass von Schulden durch einen Gläubiger.,,,,,,
2745,Erträge aus Kapitalherabsetzung,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Erträge, die im Rahmen einer Kapitalherabsetzung entstehen.",,,,,,
2746,Steuerfreie Erträge aus der Auflösung von steuerlichen Rücklagen,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Auflösung von Rücklagen, die unter bestimmten Voraussetzungen steuerfrei ist.",,,,,,
2747,Sonstige steuerfreie Betriebseinnahmen,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,"Betriebseinnahmen, die nach dem EStG oder KStG steuerfrei sind (z.B. bestimmte Zuschüsse).",,,,,,
2749,Erstattungen Aufwendungsausgleichsgesetz,Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,Erstattungen der Krankenkassen für Lohnfortzahlung im Krankheitsfall (U1) oder bei Mutterschaft (U2).,,,,,,
2762,"Kostenerstattungen, Rückvergütungen und Gutschriften für frühere Jahre",Einnahme,Neutraler Ertrag,,,4. Sonstige betriebliche Erträge,Periodenfremde Erträge aus Erstattungen.,,,,,,
2764,Erträge aus Verwaltungskostenumlagen,Einnahme,Sonstige betriebliche Erträge,,,4. Sonstige betriebliche Erträge,Erträge aus der Weiterberechnung von Verwaltungskosten (z.B. an Tochtergesellschaften).,,,,,,
2870,Vorabausschüttung,Ergebnisverwendung,Gewinnverwendung,,A.V. Jahresüberschuss/-fehlbetrag (als Minderung),,Buchung einer bereits vor Feststellung des Jahresabschlusses geleisteten Gewinnausschüttung.,,,,,,
3000,"Materialaufwand Roh-, Hilfs- und Betriebsstoffe",Betriebsausgabe,Materialaufwand,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe...","Aufwand für den Verbrauch von Materialien, die in die Produkte eingehen oder für den Betrieb benötigt werden.",,,,,,
