Konto-Nr.,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Kontoart,Handlungshilfe,Standard-Ggkto.,UStVA_Kennz.,Steuerschluessel,USt_Berichtskat.,Automatikkonto,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position
1776,Umsatzsteuer 19%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld aus Umsätzen zum Regelsatz.,,81,3,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1777,Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld aus Lieferungen an Privatpersonen in der EU (vor OSS).,,,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1778,Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen 19%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld (19%) aus Lieferungen an Privatpersonen in der EU (vor OSS).,,,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1779,Umsatzsteuer 19% innergem. Erwerb ohne VSt.-Abzug,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,"Umsatzsteuer aus innergem. Erwerb, wenn kein Vorsteuerabzug möglich ist.",,89,3,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1780,Umsatzsteuer - Vorauszahlungen / Erstattungen,Umsatzsteuer,Verrechnungskonto USt,Passivkonto,Verrechnungskonto für USt-Zahllast und Zahlungen/Erstattungen an das Finanzamt.,,,,Umsatzsteuervorauszahlungen,Nein,,Verrechnungskonto Finanzamt,
1781,Umsatzsteuer - Vorauszahlungen 1/11 für Dauerfristverlängerung,Umsatzsteuer,Verrechnungskonto USt,Passivkonto,Buchung der Sondervorauszahlung für die Dauerfristverlängerung.,,39,,Umsatzsteuervorauszahlungen,Nein,,Verrechnungskonto Finanzamt,
1782,Nachsteuer (KZ. 65),Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld aus der Berichtigung des Vorsteuerabzugs nach §15a UStG.,,65,,Umsatzsteuervorauszahlungen,Ja,,D.4. Sonstige Verbindlichkeiten,
1783,Unrichtig oder unberechtigt ausgewiesene Umsatzsteuer (Kz. 69),Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld nach § 14c UStG.,,69,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1784,Umsatzsteuer aus EU-Erwerb von Neufahrzeugen von Lieferanten ohne USt.-ID,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuer für den Erwerb von Neufahrzeugen von Privatpersonen im EU-Ausland.,,96,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1785,Umsatzsteuer nach § 13b UStG,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld aus Reverse-Charge-Sachverhalten (§ 13b UStG).,,84,3,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1786,Umsatzsteuer aus innergemeinschaftlichem Erwerb 16 %,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuer aus innergem. Erwerb zum temporär gesenkten Satz.,,95,3,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1787,Umsatzsteuer nach § 13b UStG mit VSt.-Abzug 19%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld (19%) aus Reverse-Charge-Sachverhalten (§ 13b UStG).,,84,3,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1788,Aufgeschobene Einfuhrumsatzsteuer,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,"Verbindlichkeit aus EUSt, deren Fälligkeit im Rahmen eines zugelassenen Verfahrens aufgeschoben wurde.",,,,Vereinnahmte Umsatzsteuer,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1789,Umsatzsteuer laufendes Jahr,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Verrechnungskonto für die Umsatzsteuerzahllast des laufenden Geschäftsjahres.,,,,Vereinnahmte Umsatzsteuer,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1790,Umsatzsteuer Vorjahr,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Verbindlichkeiten oder Forderungen aus der Umsatzsteuer-Jahreserklärung des Vorjahres.,,,,Umsatzsteuer Vorjahre,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1791,Umsatzsteuer frühere Jahre,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Verbindlichkeiten oder Forderungen aus Umsatzsteuer für weiter zurückliegende Jahre (z.B. nach Betriebsprüfung).,,,,Umsatzsteuer Vorjahre,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1792,Sonstige Verrechnungskonten (Interimskonto),Interimskonto,Verrechnungskonto,Aktivkonto,Sammelkonto für unklare Posten oder zur kurzfristigen Verrechnung,,,,,Nein,Technisches Konto,,
1794,Umsatzsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Erfassung der Umsatzsteuerschuld des letzten Abnehmers bei einem innergemeinschaftlichen Dreiecksgeschäft.,,69,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1795,Verbindlichkeiten im Rahmen der sozialen Sicherheit (für § 4 Abs. 3 EStG),Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,Passivkonto,Technisches Konto zur periodengerechten Erfassung von SV-Beiträgen für Einnahmen-Überschuss-Rechner.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),
2010,Betriebsfremde Aufwendungen,Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,"Aufwendungen, die nicht mit dem eigentlichen Betriebszweck zusammenhängen (z.B. Spenden).",1200,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2020,Periodenfremde Aufwendungen,Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,"Aufwendungen, die wirtschaftlich in eine andere Abrechnungsperiode gehören (z.B. Nachzahlung für Vorjahr).",1200,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2100,Zinsen und ähnliche Aufwendungen,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Sammelkonto für Zinsaufwendungen aller Art.,1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2102,"Steuerlich nicht abzugsfähige, andere Nebenleistungen zu Steuern §4 Abs. 5b EStG",Betriebsausgabe,Zinsaufwand,Aufwandskonto,Erfassung von steuerlich nicht abzugsfähigen Säumniszuschlägen etc. auf betriebliche Steuern.,1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2103,Abzugsfähige andere Nebenleistungen zu Steuern,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Erfassung von steuerlich abzugsfähigen Nebenleistungen (z.B. Stundungszinsen).,1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2104,"Nicht abzugsfähige, andere Nebenleistungen zu Steuern",Betriebsausgabe,Zinsaufwand,Aufwandskonto,Erfassung von steuerlich nicht abzugsfähigen Nebenleistungen (z.B. Säumniszuschläge auf Personensteuern).,1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2105,"Zinsaufwendungen § 233a AO, § 4 Abs. 5b EStG, nicht abzugsfähig",Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Nicht abzugsfähige Nachzahlungszinsen auf betriebliche Steuern (Gewerbe-, Körperschaftsteuer).",1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2106,Zinsen aus Abzinsung des Körperschaftssteuer-Erhöhungsbetrages § 38 KStG,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Spezialkonto für Zinsen im Rahmen von EK02-Ausschüttungen.,,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2107,Zinsaufwendungen § 233a AO betriebliche Steuern,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Abzugsfähige Nachzahlungs- und Erstattungszinsen auf betriebliche Steuern (z.B. Umsatzsteuer).,1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2108,Zinsaufwendungen §§ 233a bis 237 AO Personensteuern,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Nicht abzugsfähige Zinsen auf Personensteuern (Einkommensteuer).,1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2110,Zinsaufwendungen für kurzfristige Verbindlichkeiten,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Zinsen für Kontokorrentkredite, kurzfristige Darlehen etc.",1710,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2111,Zinsaufwendungen §§ 234 bis 237 AO abzugsfähig,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Abzugsfähige Zinsen wie Stundungs- oder Aussetzungszinsen auf betriebliche Steuern.,1200,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2113,Nicht abzugsfähige Schuldzinsen gemäß § 4 Abs. 4a EStG (Hinzurechnungsbetrag),Betriebsausgabe,Zinsaufwand,Aufwandskonto,Erfassung des Betrags aus der Hinzurechnung von Überentnahmen bei Personengesellschaften/Einzelunternehmen.,,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2114,Zinsen für Gesellschafterdarlehen,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Zinszahlungen für Darlehen, die von Gesellschaftern gewährt wurden.",1725,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2115,Zinsen und ähnliche Aufwendungen z.T. nicht abziehbar,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Sammelkonto für Zinsen, bei denen die steuerliche Abzugsfähigkeit noch zu prüfen ist.",,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2116,Zinsen und ähnliche Aufwendungen an verbundene UN z.T. n. abz.,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Zinszahlungen an verbundene Unternehmen, die ggf. unter die Zinsschranke fallen.",,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2117,Zinsen an Gesellschafter mit einer Beteiligung von mehr als 25%,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Zinszahlungen an wesentlich beteiligte Gesellschafter (Prüfung verdeckte Gewinnausschüttung).,,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2118,Zinsen auf Kontokorrentkonten,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Sollzinsen für die Überziehung von Bankkonten.,1710,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2120,Zinsaufwendungen für langfristige Verbindlichkeiten,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Zinsen für langfristige Bankdarlehen oder Anleihen.,1705,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2143,Zinsaufwendungen aus der Abzinsung von Verbindlichkeiten,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Aufzinsung von langfristigen, unverzinslichen Verbindlichkeiten.",,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2144,Zinsaufwendungen aus der Abzinsung von Rückstellungen,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Aufzinsung von langfristigen Rückstellungen (außer Pensionen).,,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2146,Zinsaufwendungen aus Abzinsung Pensionsrückst. u. ä. Verpfl. z. Verr. § 246 Abs. 2 HGB,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Zinsaufwand aus Verpflichtungen, die mit Deckungsvermögen verrechnet werden.",,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2147,Aufwendungen aus Vermögensgegenständen zur Verrechnung nach § 246 Abs. 2 HGB,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Aufwendungen aus Deckungsvermögen (z.B. Wertverluste), die mit dem Zinsaufwand saldiert werden.",,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2148,Steuerlich nicht abzugsfähige Zinsaufwendungen aus der Abzinsung von Rückstellungen,Betriebsausgabe,Zinsaufwand,Aufwandskonto,"Aufzinsungsaufwand, der nach § 6 Abs. 1 Nr. 3a EStG steuerlich nicht abzugsfähig ist.",,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2149,Zinsähnliche Aufwendungen an verbundene Unternehmen,Betriebsausgabe,Zinsaufwand,Aufwandskonto,Kreditprovisionen etc. an verbundene Unternehmen.,,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2150,Aufwendungen aus der Währungsumrechnung,Betriebsausgabe,Sonstige Kosten,Aufwandskonto,Verluste aus der Umrechnung von Forderungen oder Verbindlichkeiten in Fremdwährung.,,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2151,Aufwendungen aus der Währungsumrechnung (nicht § 256a HGB),Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,"Kursverluste, die dem Finanzergebnis zuzuordnen sind.",,,,,Nein,,,12. Zinsen und ähnliche Aufwendungen
2166,Aufwendungen aus Bewertung Finanzmittelfonds,Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,Wertminderungen von Anteilen an Investmentfonds im Umlaufvermögen.,,,,,Nein,,,11. Abschreibungen auf Finanzanlagen...
2170,Nicht abziehbare Vorsteuer (sonst. Aufw.),Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Vorsteuerbeträge, für die kein Abzugsrecht besteht und die als separater Aufwand gebucht werden.",1200,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
2171,Nicht abziehbare Vorsteuer 7% (sonst. Aufw.),Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Wie 2170, jedoch für den ermäßigten Steuersatz.",1200,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
2176,Nicht abziehbare Vorsteuer 19% (sonst. Aufw.),Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,"Wie 2170, jedoch für den Regelsteuersatz.",1200,,,"Steuern, Versicherungen und Beiträge",Nein,,,8. Sonstige betriebliche Aufwendungen
2200,Körperschaftsteuer,Betriebsausgabe,Steuern v. Einkommen/Ertrag,Aufwandskonto,Aufwand für die Körperschaftsteuer des laufenden Jahres (nicht abzugsfähig).,0963,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2203,Körperschaftsteuer für Vorjahre,Betriebsausgabe,Steuern v. Einkommen/Ertrag,Aufwandskonto,Nachzahlungen von Körperschaftsteuer für frühere Jahre.,1200,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2204,Körperschaftsteuererstattungen für Vorjahre,Einnahme,Steuern v. Einkommen/Ertrag,Ertragskonto,Erstattungen von Körperschaftsteuer für frühere Jahre (ertragswirksam).,1200,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2208,Solidaritätszuschlag,Betriebsausgabe,Steuern v. Einkommen/Ertrag,Aufwandskonto,Aufwand für den Solidaritätszuschlag zur Körperschaftsteuer (nicht abzugsfähig).,1736,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2209,Solidaritätszuschlag für Vorjahre,Betriebsausgabe,Steuern v. Einkommen/Ertrag,Aufwandskonto,Nachzahlungen von Solidaritätszuschlag für frühere Jahre.,1200,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2210,Solidaritätszuschlagserstattungen für Vorjahre,Einnahme,Steuern v. Einkommen/Ertrag,Ertragskonto,Erstattungen von Solidaritätszuschlag für frühere Jahre.,1200,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2213,Kapitalertragsteuer 25%,Betriebsausgabe,Anrechenbare Steuern,Aufwandskonto,"Einbehaltene Kapitalertragsteuer auf Zinserträge, die auf die KSt-Schuld angerechnet wird.",,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2216,Anrechenbarer Solidaritätszuschlag auf Kapitalertragsteuer,Betriebsausgabe,Anrechenbare Steuern,Aufwandskonto,"Einbehaltener Solidaritätszuschlag auf Zinserträge, der angerechnet wird.",,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2250,Aufwendungen aus der Zuführung und Auflösung von latenten Steuern,Betriebsausgabe,Latente Steuern,Aufwandskonto,Buchung des Aufwands aus der Bildung/Auflösung von latenten Steuern.,0968,,,,Nein,,,20. Aufwendungen/Erträge aus latenten Steuern
2255,Erträge aus der Zuführung und Auflösung von latenten Steuern,Einnahme,Latente Steuern,Ertragskonto,Buchung des Ertrags aus der Bildung/Auflösung von latenten Steuern.,0983,,,,Nein,,,20. Aufwendungen/Erträge aus latenten Steuern
2260,Aufwendungen aus der Zuführung zu Steuerrückstellungen für Steuerstundung (BStBK),Betriebsausgabe,Steuern v. Einkommen/Ertrag,Aufwandskonto,Aufwand aus der Bildung von Steuerrückstellungen für gestundete Steuern.,0962,,,,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2265,Erträge aus der Auflösung von Steuerrückstellungen für Steuerstundung (BStBK),Einnahme,Steuern v. Einkommen/Ertrag,Ertragskonto,Ertrag aus der Auflösung von Steuerrückstellungen für gestundete Steuern.,0962,,,,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2281,Gewerbesteuer Nachzahlung / Erstattung VJ § 4 Abs. 5b EStG,Betriebsausgabe,Steuern v. Einkommen/Ertrag,Aufwandskonto,Nachzahlungen oder Erstattungen von Gewerbesteuer für Vorjahre (nicht abzugsfähig).,1200,,,,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2283,Erträge aus der Auflösung von Gewerbesteuerrückstellungen §4 Abs. 5b EStG,Einnahme,Steuern v. Einkommen/Ertrag,Ertragskonto,Ertragswirksame Auflösung von nicht mehr benötigten Gewerbesteuerrückstellungen.,0956,,,Betriebliche Steuern,Nein,,,17. Steuern vom Einkommen und vom Ertrag
2285,Steuernachzahlungen Vorjahre für sonstige Steuern,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,Nachzahlungen für betriebliche Steuern (z.B. Grundsteuer) aus Vorjahren.,1200,,,Betriebliche Steuern,Nein,,,8. Sonstige betriebliche Aufwendungen
2287,Steuererstattungen Vorjahre für sonstige Steuern,Einnahme,Betriebliche Steuern,Ertragskonto,Erstattungen für betriebliche Steuern (z.B. Grundsteuer) aus Vorjahren.,1200,,,Neutrale Erträge,Nein,,,4. Sonstige betriebliche Erträge
2289,Erträge aus der Auflösung von Rückstellungen für sonstige Steuern,Einnahme,Neutraler Ertrag,Ertragskonto,Ertragswirksame Auflösung von Rückstellungen für sonstige Steuern (z.B. für eine Betriebsprüfung).,0970,,,,Nein,,,4. Sonstige betriebliche Erträge
2300,Sonstige betriebliche Aufwendungen,Betriebsausgabe,Sonstige Kosten,Aufwandskonto,"Sammelkonto für sonstige betriebliche Aufwendungen, die nicht spezieller zugeordnet werden können.",1200,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2307,Sonstige Aufwendungen betriebsfremd und regelmäßig,Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,"Regelmäßige, aber nicht dem Betriebszweck dienende Aufwendungen.",1200,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2308,Sonstige nicht abziehbare Aufwendungen,Betriebsausgabe,Nicht abzugsfähige Betriebsausgaben,Aufwandskonto,"Aufwendungen, die handelsrechtlich Aufwand sind, aber steuerlich nicht abgezogen werden dürfen (außer Geschenke/Bewirtung).",1200,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2309,Sonstige Aufwendungen unregelmäßig,Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,"Außergewöhnliche Aufwendungen, die nicht unter eine andere Kategorie fallen.",1200,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2310,Anlagenabgänge Sachanlagen (Restbuchwert bei Buchverlust),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Ausbuchung des Restbuchwerts bei Verkauf oder Verschrottung von Sachanlagen, wenn ein Verlust entsteht.",,,,Buchwert Anlagenabgänge,Nein,,,8. Sonstige betriebliche Aufwendungen
2311,Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchverlust),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Ausbuchung des Restbuchwerts bei Verkauf immaterieller VG, wenn ein Verlust entsteht.",,,,Buchwert Anlagenabgänge,Nein,,,8. Sonstige betriebliche Aufwendungen
2312,Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchverlust),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Ausbuchung des Restbuchwerts bei Verkauf von Finanzanlagen, wenn ein Verlust entsteht.",,,,Buchwert Anlagenabgänge,Nein,,,11. Abschreibungen auf Finanzanlagen...
2313,Abgang Finanzanlagen zum Teil nicht abziehbar (Restbuchwert Buchverlust),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Wie 2312, wenn der Verlust steuerlich nur teilweise abzugsfähig ist.",,,,Buchwert Anlagenabgänge,Nein,,,11. Abschreibungen auf Finanzanlagen...
2315,Anlagenabgänge Sachanlagen (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Ausbuchung des Restbuchwerts bei Verkauf von Sachanlagen, wenn ein Gewinn entsteht (Verrechnung mit Erlös).",,,,Buchwert Anlagenabgänge,Nein,,,4. Sonstige betriebliche Erträge (als Minderung)
2316,Anlagenabgänge immaterielle Vermögensgegenstände (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Ausbuchung des Restbuchwerts bei Verkauf immaterieller VG, wenn ein Gewinn entsteht.",,,,Buchwert Anlagenabgänge,Nein,,,4. Sonstige betriebliche Erträge (als Minderung)
2317,Anlagenabgänge Finanzanlagen (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Ausbuchung des Restbuchwerts bei Verkauf von Finanzanlagen, wenn ein Gewinn entsteht.",,,,Buchwert Anlagenabgänge,Nein,,,10. Erträge aus Finanzanlagen (als Minderung)
2318,Abgang Finanzanlagen zum Teil steuerfrei (Restbuchwert bei Buchgewinn),Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Wie 2317, wenn der Gewinn steuerlich teilweise steuerfrei ist.",,,,Buchwert Anlagenabgänge,Nein,,,10. Erträge aus Finanzanlagen (als Minderung)
2320,Verluste aus dem Abgang von Gegenständen des Anlagevermögens,Betriebsausgabe,Anlagenabgang,Aufwandskonto,Erfassung des Nettoverlusts aus dem Verkauf von Anlagevermögen.,,,,Erlöse aus Anlagenverkäufen,Nein,,,8. Sonstige betriebliche Aufwendungen
2323,Verlust aus der Veräußerung von Anteilen an KapGes. z.T. n. abz.,Betriebsausgabe,Anlagenabgang,Aufwandskonto,"Verlust aus Verkauf von Anteilen, der steuerlich nur begrenzt abzugsfähig ist.",,,,Erlöse aus Anlagenverkäufen,Nein,,,11. Abschreibungen auf Finanzanlagen...
2325,Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräte),Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,Verluste aus dem Verkauf von z.B. Wertpapieren des Umlaufvermögens unter Buchwert.,,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2326,Verluste aus dem Abgang von Gegenständen des Umlaufvermögens z.T. n. abz.,Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,"Wie 2325, wenn der Verlust steuerlich nur teilweise abzugsfähig ist.",,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2339,Einstellungen in die steuerliche Rücklage nach § 4g EStG,Betriebsausgabe,Steuerliche Rücklagen,Aufwandskonto,Aufwand zur Bildung einer Rücklage zur Vermeidung der sofortigen Versteuerung stiller Reserven.,0945,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2342,Einstellungen in die steuerliche Rücklage nach § 6b Abs. 3 EStG,Betriebsausgabe,Steuerliche Rücklagen,Aufwandskonto,Aufwand zur Bildung einer Rücklage für die Übertragung stiller Reserven.,0931,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2343,Einstellungen in die steuerliche Rücklage nach § 6b Abs. 10 EStG,Betriebsausgabe,Steuerliche Rücklagen,Aufwandskonto,Aufwand zur Bildung einer Rücklage für die Übertragung stiller Reserven (Sonderfall).,0931,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2344,Einstellungen in die Rücklage für Ersatzbeschaffung nach R 6.6 EStR,Betriebsausgabe,Steuerliche Rücklagen,Aufwandskonto,Aufwand zur Bildung einer Rücklage bei unfreiwilligem Ausscheiden eines Wirtschaftsgutes.,0932,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2345,Einstellungen in steuerliche Rücklagen,Betriebsausgabe,Steuerliche Rücklagen,Aufwandskonto,Sammelkonto für die Bildung steuerlicher Rücklagen zur Gewinnminderung.,,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2347,Aufwendungen aus dem Erwerb eigener Anteile,Ergebnisverwendung,Rücklagenbewegung,Aufwandskonto,"Nebenkosten beim Kauf eigener Anteile, die direkt mit den Rücklagen verrechnet werden.",0848,,,,Nein,,,
2375,Grundsteuer,Betriebsausgabe,Betriebliche Steuern,Aufwandskonto,Aufwand für die Grundsteuer für betrieblich genutzte Grundstücke.,1736,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2400,Forderungsverluste,Betriebsausgabe,Forderungsverluste,Aufwandskonto,Abschreibung von uneinbringlichen Netto-Forderungen.,1400,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
2401,Forderungsverluste 7% USt.,Betriebsausgabe,Forderungsverluste,Aufwandskonto,"Abschreibung uneinbringlicher Forderungen, inkl. Korrektur der 7% USt.",1446,86,,Umsatzerlöse,Ja,,,8. Sonstige betriebliche Aufwendungen
2402,Forderungsverluste aus steuerfreien EU-Lieferungen,Betriebsausgabe,Forderungsverluste,Aufwandskonto,Abschreibung uneinbringlicher Forderungen aus steuerfreien innergemeinschaftlichen Lieferungen.,1447,41,,Umsatzerlöse,Ja,,,8. Sonstige betriebliche Aufwendungen
2403,Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 7% USt.,Betriebsausgabe,Forderungsverluste,Aufwandskonto,Abschreibung uneinbringlicher Forderungen inkl. Korrektur der 7% USt (Fernverkäufe).,,86,,Umsatzerlöse,Ja,,,8. Sonstige betriebliche Aufwendungen
2406,Forderungsverluste 19% USt.,Betriebsausgabe,Forderungsverluste,Aufwandskonto,"Abschreibung uneinbringlicher Forderungen, inkl. Korrektur der 19% USt.",1445,81,,Umsatzerlöse,Ja,,,8. Sonstige betriebliche Aufwendungen
2408,Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt.,Betriebsausgabe,Forderungsverluste,Aufwandskonto,Abschreibung uneinbringlicher Forderungen inkl. Korrektur der 19% USt (Fernverkäufe).,,81,,Umsatzerlöse,Ja,,,8. Sonstige betriebliche Aufwendungen
2430,"Forderungsverluste, unüblich hoch",Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,Außergewöhnlich hohe Forderungsausfälle.,1400,,,,Nein,,,8. Sonstige betriebliche Aufwendungen
